sep=	
Project Name:	C:\SharedFolder\CControl_Lite\PLC\CControl_Lite.plcprj
Export Date/Time:	2026/06/18 13:59:45
RowType	Name	Type	ElementType	Dimensions	InitialValue	RetentiveEnabled	FolderName	BindType	BindObject	BindField	BindIsArray	BindValue	BindDirection	BindConverter	HasInputRange	MinValue	MaxValue	Target	Source	AddressEnabled	Address	HasBinding	VariableLength	NumberOfBytes	StringEncode	HasAlarm	AlarmType	HiHiThresholdState	HiHiThreshold	HiHiThresholdValue	HiHiThresholdDeadBand	HiHiThresholdAlarmGroup	HiHiThresholdMessageMode	HiHiThresholdMessage	HiHiThresholdSeverity	HiHiThresholdParameter	HiThresholdState	HiThreshold	HiThresholdValue	HiThresholdDeadBand	HiThresholdAlarmGroup	HiThresholdMessageMode	HiThresholdMessage	HiThresholdSeverity	HiThresholdParameter	LoThresholdState	LoThreshold	LoThresholdValue	LoThresholdDeadBand	LoThresholdAlarmGroup	LoThresholdMessageMode	LoThresholdMessage	LoThresholdSeverity	LoThresholdParameter	LoloThresholdState	LoloThreshold	LoloThresholdValue	LoloThresholdDeadBand	LoloThresholdAlarmGroup	LoloThresholdMessageMode	LoloThresholdMessage	LoloThresholdSeverity	LoloThresholdParameter	ThresholdState	ThresholdType	ThresholdCondition	ThresholdAlarmGroup	ThresholdMessageMode	ThresholdMessage	ThresholdSeverity	ThresholdParameter	DataSharing	LoggingGroup	Comments	
Variable	CControl_Lite_Sensoren_OffsetAbluftBox2Temp	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416420"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetAbluftBox2Feuchte	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416422"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetTrockenluftTemp	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416424"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetTrockenluftFeuchte	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416426"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetStocktemp	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416428"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Ausstattung_Abluftventilator	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416430,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_FrischlFeuchteMessberMin	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416431"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_FrischlFeuchteMessberMax	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416433"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Ausstattung_EndlagenVhdBoxenklappe1	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416435,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Ausstattung_EndlagenVhdBoxenklappe2	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416436,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Klappen_Boxen_Box1_Laufzeit	UDINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416437"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Klappen_Boxen_Box2_Laufzeit	UDINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416439"	False	False										Direct									Direct									Direct									Direct									Direct			None		
